Customer_ID,Tenure,MonthlyCharge,Contract,InternetService,Churn_Actual,Churn_Probability,Churn_Risk
E818912,8.798394712,242.632554,Two Year,Fiber Optic,Yes,0.8781781353604607,High
Y490834,10.377366,245.174977,Month-to-month,,Yes,0.991477761836442,High
B609739,22.25746016,184.964681,Month-to-month,Fiber Optic,Yes,0.5186182569155173,Medium
E687638,9.427146079,195.006206,Month-to-month,Fiber Optic,Yes,0.4515787269827095,Medium
E492264,7.760290062,104.962874,Two Year,,No,0.011191176470588236,Low
W255321,11.56938439,92.488023,Month-to-month,,No,0.050307293272068225,Low
S72442,3.343811019,184.979684,Month-to-month,DSL,Yes,0.9863566963385475,High
O845020,7.338869531,187.656013,Month-to-month,,Yes,0.9823958706289535,High
D805597,5.486534225,149.962093,Month-to-month,Fiber Optic,No,0.20797269742891702,Low
R189303,1.55278221,169.944668,One year,Fiber Optic,Yes,0.6758647063285004,Medium
N142854,12.07970325,160.00128,Month-to-month,Fiber Optic,Yes,0.15522225719210797,Low
F522569,13.98666226,129.962093,One year,DSL,No,0.05333924942119676,Low
L384793,9.563362997,114.950905,Month-to-month,DSL,Yes,0.5844843128976366,Medium
C101444,6.732948946,142.515576,Two Year,,No,0.012462462462462463,Low
E987442,15.72071086,220.14775,Two Year,,Yes,0.723085969432082,High
L54611,7.233605493,124.97808,Two Year,Fiber Optic,No,0.005326107353164569,Low
L85018,2.871017037,164.964681,One year,DSL,No,0.1779853062107789,Low
O942919,2.344875382,194.976769,Month-to-month,Fiber Optic,No,0.6716211064408251,Medium
I167253,7.960490246,152.455519,Month-to-month,DSL,Yes,0.9679718920535249,High
R110564,12.25062113,92.5018,Month-to-month,,No,0.05491113189293359,Low
M278354,9.634946079,127.488728,Month-to-month,,No,0.3830521348514015,Medium
W604879,7.916533093,184.963371,Two Year,DSL,No,0.16262183193408794,Low
X345797,4.471254161,265.146969,Month-to-month,Fiber Optic,Yes,0.9978947368421052,High
N189653,10.79028074,207.609354,Month-to-month,Fiber Optic,Yes,0.9948475909537856,High
M562102,12.24190682,152.462354,Month-to-month,DSL,No,0.8352841721471647,High
X67911,2.203859443,200.132293,Month-to-month,DSL,Yes,0.9636500723337491,High
O834546,23.92132231,212.655686,One year,,Yes,0.6468287411335061,Medium
I493092,3.7311787,255.119794,One year,DSL,Yes,0.9913450292397661,High
H787644,7.980015371,134.950905,Two Year,Fiber Optic,No,0.01507936507936508,Low
N582710,9.190009376,255.137219,Month-to-month,Fiber Optic,Yes,1.0,High
T689606,2.378630018,214.966286,Month-to-month,Fiber Optic,Yes,0.8284418958333665,High
E330599,5.43464555,270.160419,One year,DSL,Yes,0.9771428571428571,High
C641592,1.092361222,200.165175,Two Year,,Yes,0.8995824778812996,High
E24772,20.13981517,149.937833,Two Year,DSL,No,0.08121901627783981,Low
A889769,24.64873861,240.114868,Month-to-month,Fiber Optic,Yes,0.9224264362824237,High
G391761,9.677739656,127.495766,Month-to-month,Fiber Optic,No,0.08862050171882377,Low
A606860,9.82814183,187.609354,One year,DSL,Yes,0.8928788800118326,High
E186097,7.832238337,169.992756,Month-to-month,Fiber Optic,No,0.34584496377828877,Medium
I627613,19.45250317,192.456745,Two Year,Fiber Optic,No,0.01904761904761905,Low
Z188641,14.34766616,120.004928,Month-to-month,DSL,No,0.20040555759586023,Low
A740543,2.257358355,195.006206,One year,Fiber Optic,No,0.03414292217002004,Low
W681476,2.358129018,139.95684,One year,Fiber Optic,No,0.12499704165385347,Low
G842176,4.650578623,114.983787,Month-to-month,,No,0.06277567461777987,Low
Z852663,3.721772616,207.638588,Month-to-month,,Yes,0.994349593495935,High
C73741,3.76663012,187.609354,Month-to-month,DSL,Yes,0.9861314397746181,High
W258972,4.151256695,134.950905,One year,Fiber Optic,No,0.009816207184628238,Low
G491883,2.188918771,192.470522,Month-to-month,Fiber Optic,Yes,0.9072378050267358,High
C302549,13.85488928,222.628057,Month-to-month,DSL,Yes,0.991319102353585,High
K581313,3.273341151,162.468917,Two Year,Fiber Optic,No,0.09330599744410485,Low
T46150,19.75096265,159.979358,Two Year,DSL,Yes,0.398820874034059,Medium
B260505,18.38404445,184.979684,Two Year,DSL,No,0.09684433833101949,Low
W877056,4.672610857,245.145743,Month-to-month,Fiber Optic,Yes,0.9955555555555555,High
M478246,6.796299371,124.97808,Month-to-month,Fiber Optic,No,0.04104848293694277,Low
N417817,12.97632235,187.484705,Month-to-month,Fiber Optic,Yes,0.805363220924671,High
R180138,20.31163945,162.500692,Month-to-month,Fiber Optic,No,0.08383305320997021,Low
N931384,6.998814446,182.467607,One year,Fiber Optic,No,0.09177075746231193,Low
O967373,14.46288204,222.660939,Month-to-month,,Yes,0.9708863940833251,High
G695985,11.13472066,182.467607,One year,Fiber Optic,No,0.02459088581669227,Low
P33478,2.542296644,220.161527,Month-to-month,,Yes,1.0,High
K100436,17.22596021,169.937833,Two Year,Fiber Optic,No,0.0483227811774246,Low
L475907,22.79214163,204.963371,Month-to-month,Fiber Optic,Yes,0.6684722828753216,Medium
A78095,3.823689744,204.963371,Month-to-month,Fiber Optic,Yes,0.8885835365736958,High
X742990,10.77094687,245.128318,Month-to-month,DSL,Yes,0.9679994515288634,High
P347346,13.08671185,172.473314,Month-to-month,,Yes,0.7649528942904306,High
O235183,14.76468813,172.456745,Month-to-month,DSL,Yes,0.8920153103093327,High
R776311,9.473091121,194.976769,Month-to-month,Fiber Optic,Yes,0.910662141285987,High
C25146,5.197446331,137.439154,Month-to-month,Fiber Optic,No,0.2556223470091616,Low
E722502,6.577552683,192.470522,Two Year,Fiber Optic,Yes,0.5880015656742263,Medium
D515341,3.174571918,159.951231,Month-to-month,Fiber Optic,Yes,0.8533558979995303,High
U972291,17.88002366,112.455141,Month-to-month,Fiber Optic,No,0.037181649152100225,Low
N374641,13.12190056,174.961766,Month-to-month,Fiber Optic,Yes,0.819020508421877,High
R736057,23.34617699,162.452604,Month-to-month,Fiber Optic,No,0.12201514343929203,Low
K401117,6.311709178,137.483594,One year,DSL,No,0.029698487307182955,Low
O17401,12.58298231,275.133571,Two Year,Fiber Optic,No,0.6776431305004165,Medium
E779833,7.120096363,127.442069,Month-to-month,DSL,Yes,0.6299778831585008,Medium
Q527077,9.344886869,210.138,Two Year,,Yes,0.934020727337698,High
Q765651,22.37815032,147.456419,Two Year,DSL,No,0.016227106227106228,Low
W400552,4.799514433,242.657291,One year,,Yes,0.9403615803434314,High
S979985,10.04672315,114.983787,Month-to-month,,No,0.05736881168931443,Low
E351590,8.156552837,187.656013,Month-to-month,,No,0.7371587865298709,High
J227824,7.992791229,149.991327,Two Year,,No,0.03404129559735967,Low
S136858,7.231032028,124.960655,Two Year,DSL,No,0.028366861896273667,Low
N883325,4.627672042,220.161527,Month-to-month,,Yes,0.9997402597402598,High
U700981,10.05306287,172.48852,Two Year,DSL,No,0.08249892286623922,Low
X267853,4.171044392,120.004928,Two Year,DSL,No,0.01668140288829944,Low
S985225,4.568682641,220.161527,Month-to-month,,Yes,0.9991836734693877,High
X645702,6.085030507,139.965008,Month-to-month,DSL,Yes,0.951112179757707,High
I703479,2.730250735,159.951231,Month-to-month,Fiber Optic,No,0.7792966264790597,High
S370452,8.574901206,184.949594,Month-to-month,DSL,Yes,0.9043179477775114,High
D333249,9.743201772,252.637807,Month-to-month,Fiber Optic,Yes,0.9939984882842026,High
O698848,9.482919033,112.455141,Month-to-month,Fiber Optic,No,0.03244234411852131,Low
M248356,8.447988841,179.979358,Two Year,Fiber Optic,No,0.06659764595361224,Low
E759213,6.365998533,202.443347,One year,Fiber Optic,No,0.28997938182706,Low
G106476,7.251397592,197.472533,One year,DSL,No,0.2054831671010232,Low
D873414,14.64011644,255.155493,One year,Fiber Optic,Yes,0.7929080354979877,High
X906302,11.71637124,174.976769,Month-to-month,DSL,Yes,0.9378243688926281,High
Z245249,4.13273503,169.992756,Two Year,Fiber Optic,No,0.015186863249726092,Low
T30358,2.887429547,192.440432,Month-to-month,Fiber Optic,Yes,0.7943239137210457,High
K974027,3.303030246,182.460772,Month-to-month,Fiber Optic,No,0.5711036095724904,Medium
R464272,5.15825129,139.965008,One year,DSL,No,0.0954940515873579,Low
Q541158,3.237560234,137.461553,Month-to-month,,Yes,0.7316496927193399,High
O707075,2.733109234,217.472533,Month-to-month,Fiber Optic,Yes,0.8178398318391686,High
L229402,3.180102025,210.138,Two Year,,Yes,0.8687687044707064,High
Y259927,15.85983755,104.964303,Two Year,DSL,No,0.012077294685990338,Low
G820541,11.73724209,262.610632,Month-to-month,Fiber Optic,Yes,0.9821440371976002,High
F672614,7.006240694,152.488401,Month-to-month,,Yes,0.6767378161767071,Medium
L686627,5.562130367,174.974431,One year,DSL,Yes,0.6120906036663789,Medium
T660448,14.53027663,220.118516,One year,Fiber Optic,No,0.47370670724592606,Medium
G864898,5.905906389,162.452604,Month-to-month,Fiber Optic,No,0.5311572003867995,Medium
V847401,3.260462654,184.961033,Month-to-month,DSL,Yes,0.9739030850435413,High
X852253,18.91276578,217.483972,One year,Fiber Optic,No,0.07557563435064342,Low
M482085,14.25617986,220.118516,Two Year,Fiber Optic,No,0.3075642181493421,Medium
L535753,7.983887266,187.642236,One year,,Yes,0.5489650710204992,Medium
K265986,5.969967132,174.961766,Two Year,Fiber Optic,No,0.0788570742423151,Low
C695447,19.95277818,252.637807,Two Year,Fiber Optic,Yes,0.7339563591567597,High
T484755,14.85781115,130.024412,One year,,No,0.01685714285714286,Low
X999392,2.600063739,162.482694,Month-to-month,Fiber Optic,Yes,0.7138728238589038,High
N995093,11.92299244,182.467607,Month-to-month,Fiber Optic,Yes,0.7799433263609472,High
D478815,5.972864167,139.934918,Two Year,DSL,No,0.08193694737040712,Low
I338069,10.87555535,200.165175,Two Year,,Yes,0.8646192370166159,High
T278739,16.00330155,202.682861,Two Year,,Yes,0.5042145143348631,Medium
R857699,12.63074989,159.951231,Two Year,Fiber Optic,No,0.04646118443144651,Low
Q386914,8.4944392,149.948316,Month-to-month,Fiber Optic,No,0.23972727453909173,Low
T132275,8.044444101,149.959755,Month-to-month,Fiber Optic,Yes,0.6717581187248526,Medium
T392167,12.07358377,137.469817,Two Year,DSL,No,0.03017427017427017,Low
J315269,10.21634248,187.656013,One year,,Yes,0.6198183502247178,Medium
B124449,15.50354683,164.985293,Month-to-month,DSL,Yes,0.6292620137515141,Medium
P954849,13.88004531,159.965008,Month-to-month,Fiber Optic,Yes,0.632073306684996,Medium
K20948,19.48900163,172.462354,One year,Fiber Optic,No,0.07001322264147163,Low
M893176,10.01771765,204.949594,Two Year,Fiber Optic,Yes,0.6186892789395838,Medium
P765785,7.34059599,147.473844,One year,Fiber Optic,No,0.005555555555555556,Low
X780945,12.64742067,162.471255,Month-to-month,Fiber Optic,Yes,0.8720729391505939,High
H776847,8.850426839,119.95684,Two Year,DSL,No,0.03389355742296919,Low
A471876,3.701557118,207.609354,One year,Fiber Optic,Yes,0.6730865823490281,Medium
B424659,2.976033785,194.999168,One year,,No,0.2695588811273292,Low
F111037,5.522376826,174.975543,Two Year,Fiber Optic,No,0.03722857508716364,Low
S690107,15.64596698,240.114868,Month-to-month,Fiber Optic,Yes,0.9898412698412697,High
Q991854,23.00764441,240.114868,Month-to-month,Fiber Optic,Yes,0.9682023600967701,High
U560834,17.24924155,139.983006,One year,DSL,No,0.03639264992206169,Low
P452772,13.01107597,240.114868,Month-to-month,Fiber Optic,Yes,0.9955555555555555,High
B949126,5.104082209,209.993134,Two Year,DSL,Yes,0.7614150440540632,High
F697244,3.521499924,147.456419,Two Year,DSL,No,0.03101034558661677,Low
F501848,8.08137067,107.495766,Month-to-month,DSL,No,0.09381033554031265,Low
Q971369,1.875430489,152.502178,Month-to-month,,Yes,0.8014256578169991,High
W186069,5.587484456,79.978861,One year,,No,0.0,
Y292243,7.007695148,142.482694,Two Year,DSL,No,0.054137716085084504,Low
F333860,1.408375942,117.439154,One year,DSL,No,0.19059211471363174,Low
Z534243,11.64983735,220.132293,Month-to-month,Fiber Optic,Yes,0.9955555555555555,High
O249806,2.964559883,152.455519,Two Year,DSL,Yes,0.6362836647243426,Medium
V143753,10.25635754,174.961766,Month-to-month,Fiber Optic,No,0.681733421469836,Medium
A715491,3.892407013,202.443347,Month-to-month,Fiber Optic,Yes,0.918184336481825,High
D986940,3.226996711,210.12704,Two Year,Fiber Optic,Yes,0.7366381625995244,High
Z147347,15.87685513,139.979239,One year,,No,0.024957264957264958,Low
W830673,5.874064017,139.965008,Two Year,DSL,No,0.09289379179472061,Low
Q470894,3.756359276,137.439154,Month-to-month,Fiber Optic,No,0.13968721439684706,Low
I584048,2.905283283,102.474625,Month-to-month,,No,0.2325224434328263,Low
J779175,1.474810061,252.637807,Month-to-month,Fiber Optic,Yes,1.0,High
O82369,18.56165869,194.999168,Month-to-month,,Yes,0.8168268472399124,High
U528986,12.39088509,242.610632,Month-to-month,DSL,Yes,0.9970044488383588,High
K33780,14.17192333,127.458638,Month-to-month,,No,0.2681086282222547,Low
M720169,3.86023041,129.976324,Two Year,,No,0.055134166952200366,Low
Q279060,17.72593456,240.114868,One year,Fiber Optic,Yes,0.5978938394209192,Medium
V840276,3.043063167,174.975543,Month-to-month,Fiber Optic,No,0.39615951469500166,Medium
B248010,5.827112819,169.944668,One year,Fiber Optic,No,0.01818181818181818,Low
C805115,4.648958177,162.511928,Month-to-month,,Yes,0.8464568918779185,High
D89225,11.96274778,119.95684,Month-to-month,DSL,No,0.18127879751647152,Low
X904034,4.525864256,137.439154,Month-to-month,Fiber Optic,No,0.2368333915227265,Low
B148329,8.038308899,207.46728,Two Year,Fiber Optic,No,0.14682630319503778,Low
X914490,1.416592892,149.974105,One year,DSL,No,0.05423733129615482,Low
U120690,19.83504645,225.178625,Month-to-month,,No,0.6077530525179943,Medium
F116821,15.85002222,232.637807,Month-to-month,DSL,Yes,0.9751424287856071,High
X389713,15.94935291,117.472036,Month-to-month,,No,0.09841033701200733,Low
M379067,11.94550648,137.469817,Month-to-month,DSL,No,0.2872977409678185,Low
A81135,16.03360405,220.132293,Month-to-month,Fiber Optic,No,0.7272933634743636,High
V280043,21.29342532,124.960655,Two Year,DSL,No,0.04594372947314123,Low
U169694,4.95598008,199.990219,One year,DSL,No,0.1521159743921892,Low
N162822,2.73951266,159.947583,Month-to-month,DSL,Yes,0.9319968796701871,High
K618387,4.973046104,245.145743,One year,Fiber Optic,Yes,0.8720881572324566,High
D944092,10.28430068,255.155493,Month-to-month,Fiber Optic,Yes,0.9811426000899686,High
F908532,2.581692044,134.950905,Two Year,Fiber Optic,No,0.0,
K380097,6.945736396,159.947583,Month-to-month,DSL,Yes,0.9798110661268556,High
R717119,9.999416271,139.987503,Month-to-month,DSL,No,0.40555861772852253,Medium
X978383,6.035737465,179.947583,Month-to-month,Fiber Optic,Yes,0.6563902989564734,Medium
L693606,9.004964377,127.473844,Month-to-month,DSL,No,0.18621079448657263,Low
Q486994,5.071456681,232.637807,One year,DSL,Yes,0.9324096526588135,High
R463442,12.02106494,195.006206,Month-to-month,Fiber Optic,Yes,0.5837631122935281,Medium
O40995,5.049303717,267.642733,Month-to-month,DSL,Yes,0.9954171472510572,High
I933613,18.17247008,149.959755,Two Year,Fiber Optic,No,0.010275689223057643,Low
O900811,15.31997698,220.114868,Two Year,DSL,Yes,0.7879662454372397,High
F269503,16.0708543,157.483594,Month-to-month,Fiber Optic,No,0.0817207496336254,Low
V549313,7.873371451,127.474951,Two Year,,No,0.04907254631685559,Low
Y254714,23.62866494,139.981577,Two Year,,No,0.08145760672076462,Low
C125388,25.8634566,255.133571,Month-to-month,DSL,Yes,0.990593149540518,High
D901316,9.405224809,194.966286,One year,DSL,Yes,0.7094673513100563,High
H906834,12.84490034,179.965581,Month-to-month,Fiber Optic,No,0.27659136679639074,Low
W551882,16.59325254,174.976769,Month-to-month,DSL,Yes,0.773107952889239,High
D402022,20.35456039,187.609354,Month-to-month,DSL,No,0.6653227694636158,Medium
M545162,12.00925702,169.937833,Month-to-month,Fiber Optic,No,0.422853852052253,Medium
C459569,2.861423443,115.002061,Month-to-month,,No,0.17840909544134376,Low
O226386,14.20349453,152.462354,Month-to-month,DSL,Yes,0.8392607599392055,High
G954415,4.98152586,207.609354,Month-to-month,Fiber Optic,Yes,0.9955555555555555,High
E475593,23.12150846,147.503078,Month-to-month,,No,0.07147855480465357,Low
D160442,6.307178205,200.118516,Two Year,DSL,No,0.8464474930517686,High
J757606,12.73622643,137.497825,One year,,No,0.01733821733821734,Low
E791178,12.00466914,134.980139,Two Year,,No,0.043134284372401695,Low
U451201,2.243757398,147.442069,One year,Fiber Optic,No,0.018750700280112043,Low
Z817431,1.583394702,197.494455,One year,Fiber Optic,No,0.2213121079808913,Low
A295468,14.23487852,162.529926,One year,,No,0.01896681749622926,Low
S986240,15.28108311,210.151777,Month-to-month,,Yes,0.97945890594259,High
H472673,4.135827839,159.965581,Month-to-month,DSL,Yes,0.7343429602397927,High
H146363,9.740709475,190.173699,Month-to-month,,Yes,0.9851423581097339,High
S596844,1.213704886,202.649979,Two Year,DSL,Yes,0.8990830924871271,High
K458306,11.86252419,134.950905,Month-to-month,Fiber Optic,No,0.07797072459536243,Low
N279711,2.416685985,142.500692,One year,DSL,No,0.08030885656073063,Low
P760514,6.73327535,114.997564,Month-to-month,,No,0.15872278289027583,Low
H849889,6.549035393,232.62403,Two Year,DSL,Yes,0.8704593646904796,High
R379090,10.57197066,242.628057,Month-to-month,Fiber Optic,Yes,0.9895677246212877,High
L187290,3.379756569,202.443347,Month-to-month,Fiber Optic,Yes,0.8975652327489394,High
X525693,8.959047529,124.993537,Two Year,,No,0.009281482606714263,Low
T515102,10.23679934,174.976769,Two Year,DSL,No,0.16484991282669298,Low
V571104,14.96503088,225.145743,Month-to-month,DSL,Yes,0.9959322033898305,High
V824084,23.79323993,275.133571,One year,Fiber Optic,Yes,0.6398284578674944,Medium
L189856,11.45675389,287.642733,Month-to-month,Fiber Optic,Yes,0.9971428571428571,High
D07066,11.04076215,177.65076,Month-to-month,,Yes,0.9644837814655832,High
N584184,7.425503428,220.114868,Month-to-month,DSL,Yes,0.9965154264972775,High
K578402,2.411712843,197.516854,One year,,Yes,0.6413480433519402,Medium
Y413092,2.009542213,194.974431,One year,Fiber Optic,No,0.199896953153182,Low
F980573,9.068119482,175.133074,Month-to-month,,Yes,0.9827824463118582,High
I581177,1.926789854,147.478341,Month-to-month,Fiber Optic,Yes,0.6275541797372781,Medium
U469398,11.77389421,134.980139,Two Year,,No,0.0014300237207726194,Low
I85282,2.585228303,157.483594,One year,Fiber Optic,No,0.03667903281714024,Low
Z317359,9.517703088,255.141716,One year,Fiber Optic,No,0.5308314558178608,Medium
I981930,9.532523799,137.439154,Two Year,Fiber Optic,No,0.04326661964822609,Low
N227355,23.103996,235.159141,Month-to-month,Fiber Optic,No,0.6375182682224425,Medium
E805998,5.104873611,147.460067,Month-to-month,Fiber Optic,Yes,0.4835324903028576,Medium
J633340,6.877942744,232.637807,Month-to-month,DSL,Yes,1.0,High
L762626,21.17839683,137.439154,One year,Fiber Optic,Yes,0.32518783875154816,Medium
S206250,1.586331702,129.948316,Month-to-month,DSL,No,0.5202904436814988,Medium
C917569,3.778174405,242.632554,Month-to-month,Fiber Optic,Yes,0.9973033707865169,High
L282757,11.58276897,187.609354,Month-to-month,DSL,Yes,0.9857355783261252,High
D762674,11.62258922,232.652038,One year,,Yes,0.8509376571141278,High
N914081,20.78013031,159.980465,One year,,No,0.10111086253501111,Low
K905632,3.940297464,159.947583,Month-to-month,DSL,Yes,0.9640449682912647,High
H247341,11.38099891,137.487242,Month-to-month,Fiber Optic,No,0.09872163136956721,Low
N02836,1.473304337,245.131966,Two Year,Fiber Optic,Yes,0.9358023123583764,High
P742927,12.75609778,117.439154,Month-to-month,DSL,No,0.20590559100851205,Low
V109553,6.253919786,209.993134,Two Year,DSL,Yes,0.7546785539773319,High
J227266,18.9537053,169.974105,One year,Fiber Optic,No,0.03445665445665446,Low
F881222,9.640061615,197.470195,Two Year,DSL,No,0.33241133629557706,Medium
O167724,5.201330266,137.516476,Month-to-month,,Yes,0.630721276601205,Medium
Y554348,12.42120946,207.475448,Month-to-month,DSL,Yes,0.9671387142931558,High
N800767,8.134438503,160.00128,Month-to-month,Fiber Optic,No,0.1274554038626735,Low
B363210,14.86764776,147.478341,Two Year,Fiber Optic,No,0.004506946797695696,Low
P903407,5.548652108,127.488728,Two Year,,No,0.06538089319782683,Low
O825386,18.35541838,139.981577,Month-to-month,,No,0.19391542980476664,Low
Q76170,7.62779591,220.132293,Month-to-month,Fiber Optic,Yes,0.9544394467188586,High
J04574,4.439685675,214.952509,One year,Fiber Optic,No,0.19189754875265158,Low
R620556,11.16903388,139.99789,One year,,No,0.020336159899265405,Low
S136763,14.14101821,270.160419,Month-to-month,DSL,Yes,0.9878670168143853,High
J790219,3.212400569,202.443347,Two Year,Fiber Optic,Yes,0.7007978129119453,High
O403373,16.84928353,172.47417,Month-to-month,Fiber Optic,No,0.2909248388338137,Low
S256934,3.834727471,137.468388,Month-to-month,,Yes,0.9103596069314301,High
F693121,6.198230305,104.962874,Two Year,,No,0.0196078431372549,Low
O154545,4.216732972,174.969934,Two Year,DSL,No,0.284888036631066,Low
A745374,4.355064781,139.99789,One year,,No,0.03036090389031566,Low
W893206,4.030250374,144.988941,Two Year,DSL,No,0.08795117671547877,Low
H113074,9.915959247,114.997564,One year,,No,0.019256781865477517,Low
J779911,9.821728297,172.484753,Month-to-month,,Yes,0.8634411959688677,High
Y832510,9.183905417,124.97808,Month-to-month,Fiber Optic,No,0.10969742518129,Low
S528947,8.892893007,174.991856,Month-to-month,Fiber Optic,No,0.8213739825034814,High
V592787,7.661226872,92.488023,Month-to-month,,No,0.07950954832386775,Low
H283133,12.4767812,139.965008,Month-to-month,DSL,No,0.37240723181360286,Medium
W884202,2.462148717,192.470522,Month-to-month,Fiber Optic,Yes,0.9373472912838549,High
N447597,14.09942339,220.118516,One year,Fiber Optic,Yes,0.6945273701148916,Medium
C416907,7.272649386,232.622804,Month-to-month,Fiber Optic,Yes,0.9867873303167422,High
A51913,3.999030359,210.156274,One year,,No,0.828823548867192,High
C742414,3.115945151,114.972827,One year,Fiber Optic,No,0.01174089068825911,Low
B773959,13.67931764,149.977753,Month-to-month,Fiber Optic,No,0.05668404144572929,Low
H691053,14.6728104,184.985293,Month-to-month,Fiber Optic,Yes,0.6369287576574081,Medium
V971650,5.953547112,132.479779,Month-to-month,DSL,No,0.46103752921468705,Medium
L226598,11.74635394,190.12704,Month-to-month,DSL,Yes,1.0,High
K730146,5.954024226,92.488023,Two Year,,No,0.0036019694221300857,Low
O894158,22.8577804,220.114868,One year,DSL,Yes,0.8265045873253943,High
H307794,1.407866545,107.495766,Month-to-month,DSL,Yes,0.5037726950188877,Medium
A318319,21.08265979,169.967067,Two Year,,No,0.06209783623594365,Low
T369132,11.10356439,222.679213,Month-to-month,,Yes,0.9985365853658535,High
T638377,9.734064703,200.132293,Month-to-month,DSL,Yes,1.0,High
E369828,12.21754865,262.610632,Month-to-month,Fiber Optic,Yes,0.985639589169001,High
G948882,2.423722078,152.495236,Month-to-month,,Yes,0.7812327226400196,High
Y748946,13.66061487,202.636202,One year,DSL,No,0.3655595607978395,Medium
O402306,8.701581043,127.478341,One year,DSL,No,0.013412359318880402,Low
D493050,4.844060027,159.983006,Month-to-month,Fiber Optic,No,0.3372400819675615,Medium
D758871,6.485034974,124.960655,Month-to-month,DSL,Yes,0.6782238442341096,Medium
F353304,1.14113241,252.62403,One year,Fiber Optic,Yes,0.9517074341343219,High
X960330,7.69213424,104.97808,Two Year,DSL,No,0.02924297924297924,Low
O463102,13.73012915,204.961033,Month-to-month,Fiber Optic,Yes,0.9262372195579089,High
W202562,5.690013293,245.145743,Month-to-month,Fiber Optic,Yes,0.9955555555555555,High
B323829,6.68894661,95.019486,Two Year,,No,0.005555555555555556,Low
M790643,9.475983046,169.937833,One year,Fiber Optic,No,0.03636697100928297,Low
D555108,4.893221514,207.475448,Month-to-month,DSL,Yes,0.9550811417684483,High
