Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Contract,InternetService,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Churn
6.652298992,124.964303,713.0633088,9.372975594,Month-to-month,Fiber Optic,Yes,Electronic Check,No,Yes,No,No,No
8.543717478,149.948316,945.3802928,7.109002592,One year,Fiber Optic,Yes,Electronic Check,No,Yes,Yes,No,No
5.770390256,162.511928,870.76398,13.74777955,Month-to-month,,No,Credit Card (automatic),Yes,No,No,Yes,Yes
4.157658837,92.455141,774.2937069,9.767668044,Month-to-month,DSL,No,Bank Transfer(automatic),No,No,No,No,Yes
10.40566091,222.649979,1506.446527,15.8626095,Month-to-month,Fiber Optic,No,Mailed Check,Yes,No,Yes,Yes,Yes
1.392421597,139.981577,419.0508708,14.73616645,Month-to-month,,Yes,Electronic Check,No,No,Yes,No,Yes
1.430386349,200.132293,1259.415493,13.43558029,One year,DSL,No,Bank Transfer(automatic),No,No,Yes,Yes,Yes
5.425864884,257.651257,1745.125956,10.61771118,Two Year,DSL,Yes,Credit Card (automatic),Yes,No,Yes,Yes,Yes
11.08287797,230.105118,1795.465729,6.613070806,Two Year,Fiber Optic,Yes,Credit Card (automatic),No,No,Yes,Yes,No
3.586184954,147.489301,492.4771472,4.450171647,Two Year,,No,Electronic Check,No,Yes,No,No,No
4.727388465,230.105118,1013.993166,8.774646693,Month-to-month,Fiber Optic,Yes,Electronic Check,No,No,Yes,Yes,Yes
20.89923386,174.958118,2680.762173,11.13156721,Month-to-month,DSL,No,Electronic Check,Yes,No,Yes,No,Yes
3.471329958,267.664655,1081.814362,5.540788887,One year,Fiber Optic,No,Mailed Check,Yes,Yes,Yes,Yes,Yes
5.478588204,162.483267,1209.961168,13.80362698,Month-to-month,DSL,Yes,Mailed Check,Yes,Yes,No,No,Yes
3.312991809,229.993134,897.5919144,16.31017089,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),Yes,Yes,No,Yes,Yes
7.161561527,140.00128,1340.930156,9.447065309,One year,DSL,Yes,Electronic Check,Yes,No,No,No,No
9.847563364,184.964681,1113.993679,16.84100845,Two Year,Fiber Optic,No,Credit Card (automatic),Yes,Yes,No,Yes,No
16.04202196,147.473844,1530.10769,7.972937227,Two Year,Fiber Optic,No,Electronic Check,No,No,No,No,No
9.179779682,172.457857,1310.137419,11.42906608,Month-to-month,Fiber Optic,Yes,Mailed Check,No,No,Yes,No,No
3.002844144,107.481989,892.8964931,8.06137096,Month-to-month,DSL,Yes,Electronic Check,Yes,Yes,No,No,No
3.924254455,255.141716,1125.581944,12.54780492,Two Year,Fiber Optic,No,Credit Card (automatic),Yes,Yes,Yes,Yes,Yes
18.55959629,192.456745,2016.710031,8.255565152,Two Year,Fiber Optic,Yes,Electronic Check,No,Yes,No,Yes,No
8.798394712,242.632554,1412.736809,13.156514,Two Year,Fiber Optic,Yes,Credit Card (automatic),Yes,No,Yes,Yes,Yes
10.377366,245.174977,1710.689671,10.58349704,Month-to-month,,Yes,Electronic Check,Yes,No,Yes,Yes,Yes
22.25746016,184.964681,2384.885909,12.50184778,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),Yes,Yes,No,Yes,Yes
9.427146079,195.006206,1213.940165,9.750038902,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),Yes,Yes,No,No,Yes
7.760290062,104.962874,740.010722,7.868660851,Two Year,,No,Bank Transfer(automatic),No,No,Yes,No,No
11.56938439,92.488023,897.9716153,12.43563329,Month-to-month,,Yes,Electronic Check,No,Yes,No,No,No
3.343811019,184.979684,1026.387172,8.957166926,Month-to-month,DSL,No,Bank Transfer(automatic),No,Yes,No,Yes,Yes
7.338869531,187.656013,1234.244324,8.015021713,Month-to-month,,Yes,Credit Card (automatic),No,No,Yes,Yes,Yes
5.486534225,149.962093,727.3731845,4.210347704,Month-to-month,Fiber Optic,Yes,Electronic Check,No,No,Yes,No,No
1.55278221,169.944668,452.8721504,11.13960534,One year,Fiber Optic,Yes,Credit Card (automatic),No,No,Yes,No,Yes
12.07970325,160.00128,1296.674543,9.03738856,Month-to-month,Fiber Optic,Yes,Mailed Check,Yes,No,No,No,Yes
13.98666226,129.962093,1840.628269,10.91594785,One year,DSL,No,Mailed Check,No,No,Yes,No,No
9.563362997,114.950905,1324.330108,8.387624096,Month-to-month,DSL,Yes,Electronic Check,No,No,No,No,Yes
6.732948946,142.515576,958.1397059,11.4487514,Two Year,,Yes,Mailed Check,Yes,Yes,No,Yes,No
15.72071086,220.14775,1868.864027,10.22013704,Two Year,,Yes,Credit Card (automatic),No,Yes,Yes,Yes,Yes
7.233605493,124.97808,676.712908,8.425458142,Two Year,Fiber Optic,Yes,Electronic Check,No,No,No,No,No
2.871017037,164.964681,1086.990308,8.386280619,One year,DSL,Yes,Mailed Check,Yes,Yes,No,Yes,No
2.344875382,194.976769,704.7540406,9.565924291,Month-to-month,Fiber Optic,No,Electronic Check,No,Yes,Yes,No,No
7.960490246,152.455519,1416.444695,10.79349982,Month-to-month,DSL,Yes,Mailed Check,Yes,No,No,Yes,Yes
12.25062113,92.5018,1095.950634,6.081975067,Month-to-month,,No,Mailed Check,No,No,No,No,No
9.634946079,127.488728,1083.610268,13.55065547,Month-to-month,,Yes,Electronic Check,No,No,No,Yes,No
7.916533093,184.963371,1570.641337,9.470419821,Two Year,DSL,No,Bank Transfer(automatic),No,No,Yes,No,No
4.471254161,265.146969,1007.425553,6.194985909,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,Yes,Yes,Yes,Yes
10.79028074,207.609354,1323.028419,10.80393657,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,Yes,Yes,Yes
12.24190682,152.462354,1808.730555,7.903964267,Month-to-month,DSL,No,Electronic Check,Yes,No,Yes,No,No
2.203859443,200.132293,1120.241472,11.27443693,Month-to-month,DSL,Yes,Credit Card (automatic),No,No,Yes,Yes,Yes
23.92132231,212.655686,2676.789803,6.129509309,One year,,No,Electronic Check,Yes,Yes,Yes,Yes,Yes
3.7311787,255.119794,1268.086909,7.969277912,One year,DSL,Yes,Bank Transfer(automatic),No,Yes,Yes,Yes,Yes
7.980015371,134.950905,822.6771666,4.368120492,Two Year,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,No,No
9.190009376,255.137219,1577.915603,6.258356398,Month-to-month,Fiber Optic,Yes,Electronic Check,No,Yes,Yes,Yes,Yes
2.378630018,214.966286,648.7471776,12.92303286,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,No,Yes,Yes
5.43464555,270.160419,1648.102673,12.43301273,One year,DSL,Yes,Electronic Check,Yes,Yes,Yes,Yes,Yes
1.092361222,200.165175,768.0874545,7.607663559,Two Year,,Yes,Electronic Check,No,Yes,Yes,Yes,Yes
20.13981517,149.937833,2426.030626,7.442789019,Two Year,DSL,No,Bank Transfer(automatic),No,No,No,Yes,No
24.64873861,240.114868,2660.503932,13.04429298,Month-to-month,Fiber Optic,Yes,Mailed Check,No,No,Yes,Yes,Yes
9.677739656,127.495766,1129.549713,14.89762162,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),Yes,No,No,No,No
9.82814183,187.609354,1771.286466,13.79387475,One year,DSL,No,Electronic Check,No,No,Yes,Yes,Yes
7.832238337,169.992756,943.3391244,15.66367593,Month-to-month,Fiber Optic,No,Credit Card (automatic),No,Yes,No,No,No
19.45250317,192.456745,1907.226083,8.513410306,Two Year,Fiber Optic,No,Mailed Check,No,Yes,No,Yes,No
14.34766616,120.004928,1885.939118,8.265002035,Month-to-month,DSL,Yes,Credit Card (automatic),Yes,Yes,No,No,No
2.257358355,195.006206,631.7435653,8.6026551,One year,Fiber Optic,No,Bank Transfer(automatic),Yes,Yes,No,No,No
2.358129018,139.95684,562.6095219,6.03993035,One year,Fiber Optic,Yes,Credit Card (automatic),Yes,No,Yes,No,No
4.650578623,114.983787,593.8572264,14.6040829,Month-to-month,,Yes,Bank Transfer(automatic),No,Yes,No,No,No
3.721772616,207.638588,777.3060718,7.274007029,Month-to-month,,No,Electronic Check,No,No,Yes,Yes,Yes
3.76663012,187.609354,1393.202392,8.913898759,Month-to-month,DSL,Yes,Electronic Check,No,No,Yes,Yes,Yes
4.151256695,134.950905,393.6524652,11.59313893,One year,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,No,No
2.188918771,192.470522,409.7486664,8.294186076,Month-to-month,Fiber Optic,Yes,Mailed Check,No,No,No,Yes,Yes
13.85488928,222.628057,2138.107161,15.19664016,Month-to-month,DSL,Yes,Mailed Check,No,No,Yes,Yes,Yes
3.273341151,162.468917,443.984031,5.083995994,Two Year,Fiber Optic,Yes,Electronic Check,Yes,Yes,No,Yes,No
19.75096265,159.979358,2481.385603,6.942719201,Two Year,DSL,No,Electronic Check,No,No,No,No,Yes
18.38404445,184.979684,2233.567181,9.834012571,Two Year,DSL,Yes,Mailed Check,No,Yes,No,Yes,No
4.672610857,245.145743,1158.91369,11.0596826,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),Yes,No,Yes,Yes,Yes
6.796299371,124.97808,529.40733,8.834079073,Month-to-month,Fiber Optic,No,Electronic Check,No,No,No,No,No
12.97632235,187.484705,1956.7337,5.271228601,Month-to-month,Fiber Optic,No,Mailed Check,Yes,Yes,Yes,No,Yes
20.31163945,162.500692,2056.386979,9.394961367,Month-to-month,Fiber Optic,Yes,Mailed Check,Yes,Yes,No,No,No
6.998814446,182.467607,1067.373076,14.4754365,One year,Fiber Optic,Yes,Electronic Check,No,No,Yes,No,No
14.46288204,222.660939,1806.135733,10.68311773,Month-to-month,,Yes,Credit Card (automatic),No,Yes,Yes,Yes,Yes
11.13472066,182.467607,1397.701335,13.79409442,One year,Fiber Optic,Yes,Bank Transfer(automatic),No,No,Yes,No,No
2.542296644,220.161527,808.4305471,12.40165307,Month-to-month,,Yes,Mailed Check,No,No,Yes,Yes,Yes
17.22596021,169.937833,1886.531937,10.24782033,Two Year,Fiber Optic,Yes,Electronic Check,No,No,No,Yes,No
22.79214163,204.963371,2294.781131,14.86100819,Month-to-month,Fiber Optic,Yes,Mailed Check,No,No,Yes,No,Yes
3.823689744,204.963371,826.3438621,6.716953195,Month-to-month,Fiber Optic,No,Electronic Check,No,No,Yes,No,Yes
10.77094687,245.128318,2072.564168,8.124258176,Month-to-month,DSL,No,Credit Card (automatic),Yes,No,Yes,Yes,Yes
13.08671185,172.473314,1436.793746,14.60903837,Month-to-month,,Yes,Bank Transfer(automatic),No,Yes,Yes,No,Yes
14.76468813,172.456745,1963.332683,12.65015936,Month-to-month,DSL,No,Bank Transfer(automatic),No,Yes,No,Yes,Yes
9.473091121,194.976769,1324.164906,12.0281501,Month-to-month,Fiber Optic,Yes,Electronic Check,No,Yes,Yes,No,Yes
5.197446331,137.439154,704.9375603,15.68043093,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,Yes,No,No
6.577552683,192.470522,888.6517305,11.30421466,Two Year,Fiber Optic,Yes,Credit Card (automatic),No,No,No,Yes,Yes
3.174571918,159.951231,377.0810282,10.26646787,Month-to-month,Fiber Optic,No,Mailed Check,No,Yes,No,Yes,Yes
17.88002366,112.455141,1606.489936,7.56618217,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,No,No
13.12190056,174.961766,1431.409396,10.40677369,Month-to-month,Fiber Optic,Yes,Mailed Check,Yes,Yes,Yes,No,Yes
23.34617699,162.452604,2253.85247,7.146124361,Month-to-month,Fiber Optic,No,Credit Card (automatic),Yes,No,Yes,No,No
6.311709178,137.483594,1353.29384,9.807530479,One year,DSL,Yes,Mailed Check,No,No,No,No,No
12.58298231,275.133571,1701.457566,10.61217014,Two Year,Fiber Optic,Yes,Electronic Check,No,No,Yes,Yes,No
7.120096363,127.442069,1290.737183,5.785085772,Month-to-month,DSL,No,Electronic Check,No,No,No,Yes,Yes
9.344886869,210.138,1403.270091,9.062879297,Two Year,,No,Electronic Check,No,Yes,Yes,Yes,Yes
22.37815032,147.456419,2603.903672,16.54443477,Two Year,DSL,Yes,Credit Card (automatic),No,No,No,No,No
4.799514433,242.657291,1256.287854,4.539566699,One year,,Yes,Credit Card (automatic),No,No,Yes,Yes,Yes
10.04672315,114.983787,980.9935923,7.251198724,Month-to-month,,Yes,Mailed Check,No,Yes,No,No,No
8.156552837,187.656013,1347.869205,8.943293567,Month-to-month,,Yes,Bank Transfer(automatic),No,No,Yes,Yes,No
7.992791229,149.991327,1127.267848,12.57884215,Two Year,,No,Credit Card (automatic),No,No,Yes,No,No
7.231032028,124.960655,1269.836202,11.64836306,Two Year,DSL,No,Bank Transfer(automatic),No,No,No,No,No
4.627672042,220.161527,1038.745378,6.076260652,Month-to-month,,Yes,Electronic Check,No,No,Yes,Yes,Yes
10.05306287,172.48852,1531.155367,11.75681641,Two Year,DSL,No,Bank Transfer(automatic),No,Yes,No,No,No
4.171044392,120.004928,991.2441024,9.173739977,Two Year,DSL,No,Electronic Check,Yes,Yes,No,No,No
4.568682641,220.161527,1244.296865,8.353693631,Month-to-month,,Yes,Mailed Check,No,No,Yes,Yes,Yes
6.085030507,139.965008,1162.332926,10.74539526,Month-to-month,DSL,Yes,Mailed Check,No,No,No,Yes,Yes
2.730250735,159.951231,577.1157824,11.36323648,Month-to-month,Fiber Optic,Yes,Mailed Check,No,Yes,No,Yes,No
8.574901206,184.949594,1442.974877,2.310584634,Month-to-month,DSL,No,Bank Transfer(automatic),No,Yes,Yes,No,Yes
9.743201772,252.637807,1577.208717,5.290318715,Month-to-month,Fiber Optic,Yes,Mailed Check,No,No,Yes,Yes,Yes
9.482919033,112.455141,886.9398744,5.258274954,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,No,No
8.447988841,179.979358,1065.06443,7.157580014,Two Year,Fiber Optic,Yes,Electronic Check,No,No,No,No,No
6.365998533,202.443347,951.886985,2.120350511,One year,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,Yes,No
7.251397592,197.472533,1404.435534,4.978546291,One year,DSL,Yes,Bank Transfer(automatic),No,Yes,Yes,No,No
14.64011644,255.155493,1925.911722,6.547676875,One year,Fiber Optic,Yes,Mailed Check,Yes,No,Yes,Yes,Yes
11.71637124,174.976769,1805.011298,7.410590719,Month-to-month,DSL,No,Electronic Check,No,Yes,Yes,No,Yes
4.13273503,169.992756,700.7343179,11.39765385,Two Year,Fiber Optic,Yes,Electronic Check,No,Yes,No,No,No
2.887429547,192.440432,513.237305,11.29945603,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,Yes,No,Yes
3.303030246,182.460772,717.3876564,11.30748265,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,No,Yes,No
5.15825129,139.965008,1313.492851,10.31551212,One year,DSL,No,Credit Card (automatic),No,No,No,Yes,No
3.237560234,137.461553,819.4195269,13.71555406,Month-to-month,,Yes,Electronic Check,No,No,No,Yes,Yes
2.733109234,217.472533,882.1160656,15.40917963,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,Yes,Yes,No,Yes
3.180102025,210.138,724.7803356,11.9664542,Two Year,,Yes,Mailed Check,No,Yes,Yes,Yes,Yes
15.85983755,104.964303,1829.270014,10.18046877,Two Year,DSL,Yes,Electronic Check,No,Yes,No,No,No
11.73724209,262.610632,1668.199119,14.01485542,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,Yes,Yes,Yes
7.006240694,152.488401,1124.353152,14.62784306,Month-to-month,,No,Credit Card (automatic),Yes,Yes,No,Yes,Yes
5.562130367,174.974431,1316.239744,10.90517581,One year,DSL,No,Credit Card (automatic),Yes,Yes,No,Yes,Yes
14.53027663,220.118516,1637.201426,8.894475174,One year,Fiber Optic,Yes,Credit Card (automatic),No,Yes,Yes,Yes,No
5.905906389,162.452604,951.8524406,10.50187888,Month-to-month,Fiber Optic,No,Mailed Check,Yes,No,Yes,No,No
3.260462654,184.961033,1248.097652,12.34250072,Month-to-month,DSL,Yes,Mailed Check,Yes,No,No,Yes,Yes
18.91276578,217.483972,2220.255405,10.29380879,One year,Fiber Optic,Yes,Electronic Check,Yes,No,No,Yes,No
14.25617986,220.118516,1669.202417,8.512650562,Two Year,Fiber Optic,No,Mailed Check,No,Yes,Yes,Yes,No
7.983887266,187.642236,990.0555076,7.82671592,One year,,Yes,Bank Transfer(automatic),No,Yes,Yes,Yes,Yes
5.969967132,174.961766,967.9819136,6.985590245,Two Year,Fiber Optic,Yes,Electronic Check,Yes,Yes,Yes,No,No
19.95277818,252.637807,2190.259876,11.40449185,Two Year,Fiber Optic,Yes,Electronic Check,No,No,Yes,Yes,Yes
14.85781115,130.024412,1445.752781,10.44249511,One year,,No,Credit Card (automatic),Yes,Yes,No,No,No
2.600063739,162.482694,528.6553088,15.38627887,Month-to-month,Fiber Optic,No,Credit Card (automatic),Yes,No,No,Yes,Yes
11.92299244,182.467607,1296.481055,10.68024546,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,Yes,No,Yes
5.972864167,139.934918,1195.393037,10.62439366,Two Year,DSL,Yes,Mailed Check,No,No,Yes,No,No
10.87555535,200.165175,1700.121992,10.91642397,Two Year,,No,Mailed Check,No,Yes,Yes,Yes,Yes
16.00330155,202.682861,2120.673828,8.580626195,Two Year,,No,Mailed Check,Yes,Yes,Yes,Yes,Yes
12.63074989,159.951231,1238.421347,8.996933306,Two Year,Fiber Optic,No,Electronic Check,No,Yes,No,Yes,No
8.4944392,149.948316,847.110799,7.602570192,Month-to-month,Fiber Optic,Yes,Mailed Check,No,Yes,Yes,No,No
8.044444101,149.959755,1112.937102,9.217689334,Month-to-month,Fiber Optic,Yes,Electronic Check,Yes,No,No,Yes,Yes
12.07358377,137.469817,1623.045026,9.591529444,Two Year,DSL,No,Electronic Check,No,Yes,No,No,No
10.21634248,187.656013,1479.730181,13.36027908,One year,,Yes,Bank Transfer(automatic),No,No,Yes,Yes,Yes
15.50354683,164.985293,2144.735024,4.372034777,Month-to-month,DSL,No,Mailed Check,Yes,No,Yes,No,Yes
13.88004531,159.965008,1522.289512,10.59285179,Month-to-month,Fiber Optic,No,Credit Card (automatic),No,No,No,Yes,Yes
19.48900163,172.462354,1974.780054,12.81260566,One year,Fiber Optic,Yes,Electronic Check,Yes,No,Yes,No,No
10.01771765,204.949594,1261.177198,3.767298987,Two Year,Fiber Optic,No,Electronic Check,No,Yes,Yes,No,Yes
7.34059599,147.473844,939.7181324,17.56798903,One year,Fiber Optic,No,Electronic Check,No,No,No,No,No
12.64742067,162.471255,1357.062854,11.2369761,Month-to-month,Fiber Optic,No,Electronic Check,No,Yes,Yes,No,Yes
8.850426839,119.95684,1456.887443,8.54892416,Two Year,DSL,No,Mailed Check,Yes,No,Yes,No,No
3.701557118,207.609354,937.5863866,6.094109902,One year,Fiber Optic,No,Bank Transfer(automatic),No,No,Yes,Yes,Yes
2.976033785,194.999168,830.1193011,13.9077275,One year,,Yes,Mailed Check,No,Yes,No,Yes,No
5.522376826,174.975543,737.8564608,7.905333122,Two Year,Fiber Optic,Yes,Credit Card (automatic),Yes,No,Yes,No,No
15.64596698,240.114868,1781.854862,12.53830949,Month-to-month,Fiber Optic,No,Mailed Check,No,No,Yes,Yes,Yes
23.00764441,240.114868,2464.577489,12.8219418,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),No,No,Yes,Yes,Yes
17.24924155,139.983006,2392.203409,8.941553742,One year,DSL,Yes,Mailed Check,No,Yes,No,No,No
13.01107597,240.114868,1664.19271,10.51043963,Month-to-month,Fiber Optic,Yes,Credit Card (automatic),No,No,Yes,Yes,Yes
5.104082209,209.993134,1433.616898,11.86384439,Two Year,DSL,Yes,Bank Transfer(automatic),Yes,Yes,No,Yes,Yes
3.521499924,147.456419,823.4933243,10.76051016,Two Year,DSL,No,Mailed Check,No,No,No,No,No
8.08137067,107.495766,1468.357421,11.05420024,Month-to-month,DSL,Yes,Mailed Check,Yes,No,No,No,No
1.875430489,152.502178,590.7765801,8.174495258,Month-to-month,,Yes,Credit Card (automatic),Yes,No,No,Yes,Yes
5.587484456,79.978861,418.6206885,10.05388383,One year,,No,Bank Transfer(automatic),No,No,No,No,No
7.007695148,142.482694,1181.991846,7.045552801,Two Year,DSL,Yes,Mailed Check,Yes,No,No,Yes,No
1.408375942,117.439154,733.4036934,8.957297136,One year,DSL,Yes,Bank Transfer(automatic),No,No,Yes,No,No
11.64983735,220.132293,1719.173387,15.74015572,Month-to-month,Fiber Optic,Yes,Electronic Check,No,No,Yes,Yes,Yes
2.964559883,152.455519,1205.956363,13.41209586,Two Year,DSL,Yes,Electronic Check,Yes,No,No,Yes,Yes
10.25635754,174.961766,1261.032763,14.89835355,Month-to-month,Fiber Optic,No,Electronic Check,Yes,Yes,Yes,No,No
3.892407013,202.443347,741.7766988,13.62135046,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,No,Yes,Yes
3.226996711,210.12704,932.6084359,14.95912113,Two Year,Fiber Optic,No,Credit Card (automatic),Yes,No,Yes,Yes,Yes
15.87685513,139.979239,1708.614019,11.741245,One year,,No,Bank Transfer(automatic),Yes,No,No,Yes,No
5.874064017,139.965008,1363.58603,7.765121655,Two Year,DSL,No,Mailed Check,No,No,No,Yes,No
3.756359276,137.439154,472.1057019,7.130431693,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),No,No,Yes,No,No
2.905283283,102.474625,558.2340556,8.359515606,Month-to-month,,No,Credit Card (automatic),No,No,No,No,No
1.474810061,252.637807,815.194738,9.42799205,Month-to-month,Fiber Optic,Yes,Electronic Check,No,No,Yes,Yes,Yes
18.56165869,194.999168,2007.303617,10.95510131,Month-to-month,,Yes,Electronic Check,No,Yes,No,Yes,Yes
12.39088509,242.610632,2088.48083,10.8621377,Month-to-month,DSL,No,Bank Transfer(automatic),No,No,Yes,Yes,Yes
14.17192333,127.458638,1430.761492,7.352533505,Month-to-month,,No,Electronic Check,No,No,Yes,No,No
3.86023041,129.976324,822.3008694,11.38860234,Two Year,,Yes,Electronic Check,Yes,No,Yes,No,No
17.72593456,240.114868,2059.200998,9.580144161,One year,Fiber Optic,No,Electronic Check,No,No,Yes,Yes,Yes
3.043063167,174.975543,617.542543,10.79191234,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),Yes,No,Yes,No,No
5.827112819,169.944668,758.4775985,9.982341124,One year,Fiber Optic,No,Electronic Check,No,No,Yes,No,No
4.648958177,162.511928,894.6733856,6.511921085,Month-to-month,,No,Electronic Check,Yes,No,No,Yes,Yes
11.96274778,119.95684,1639.898269,10.70500472,Month-to-month,DSL,Yes,Electronic Check,Yes,No,Yes,No,No
4.525864256,137.439154,710.7541633,11.58410296,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,Yes,No,No
8.038308899,207.46728,1092.226042,8.01651453,Two Year,Fiber Optic,No,Credit Card (automatic),Yes,Yes,Yes,No,No
1.416592892,149.974105,757.0097075,15.12148226,One year,DSL,Yes,Bank Transfer(automatic),Yes,No,No,No,No
19.83504645,225.178625,2301.850721,12.63643487,Month-to-month,,Yes,Electronic Check,Yes,Yes,Yes,Yes,No
15.85002222,232.637807,2401.406545,16.68178185,Month-to-month,DSL,Yes,Electronic Check,No,No,Yes,Yes,Yes
15.94935291,117.472036,1535.788894,11.08409914,Month-to-month,,No,Credit Card (automatic),No,Yes,Yes,No,No
11.94550648,137.469817,1536.589816,12.99948061,Month-to-month,DSL,Yes,Electronic Check,No,Yes,No,No,No
16.03360405,220.132293,2153.778421,11.17949466,Month-to-month,Fiber Optic,No,Electronic Check,No,No,Yes,Yes,No
21.29342532,124.960655,2409.195918,7.369412654,Two Year,DSL,No,Bank Transfer(automatic),No,No,No,No,No
4.95598008,199.990219,1342.862457,9.84688181,One year,DSL,No,Bank Transfer(automatic),Yes,Yes,Yes,No,No
2.73951266,159.947583,1046.054674,18.19542503,Month-to-month,DSL,No,Bank Transfer(automatic),No,No,No,Yes,Yes
4.973046104,245.145743,1204.479468,13.53989069,One year,Fiber Optic,No,Electronic Check,Yes,No,Yes,Yes,Yes
10.28430068,255.155493,1616.908193,5.458806701,Month-to-month,Fiber Optic,No,Credit Card (automatic),Yes,No,Yes,Yes,Yes
2.581692044,134.950905,345.0099528,12.0772854,Two Year,Fiber Optic,No,Bank Transfer(automatic),No,No,No,No,No
6.945736396,159.947583,1427.088655,6.918984305,Month-to-month,DSL,No,Credit Card (automatic),No,No,No,Yes,Yes
9.999416271,139.987503,1452.334634,14.84155042,Month-to-month,DSL,Yes,Bank Transfer(automatic),Yes,Yes,No,No,No
6.035737465,179.947583,795.4957358,12.66717474,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,No,Yes,Yes
9.004964377,127.473844,1333.894229,11.43786808,Month-to-month,DSL,Yes,Credit Card (automatic),No,No,No,No,No
